Year,LSOA Code,Population
2014,E01025078,1470
2014,E01025035,1449
2014,E01025036,1394
2014,E01025037,1321
2014,E01025038,1301
2014,E01025039,1171
2014,E01025040,1622
2014,E01025054,1689
2014,E01025056,1287
2014,E01025079,1592
2014,E01025080,1684
2014,E01025088,1075
2014,E01025096,1598
2014,E01025097,1579
2014,E01025098,1356
2014,E01025148,2047
2014,E01025168,1102
2014,E01025169,1263
2014,E01025130,2039
2014,E01025132,1467
2014,E01025166,1191
2014,E01025167,1198
2014,E01025089,1390
2014,E01025090,1728
2014,E01025158,1391
2014,E01025159,1349
2014,E01025160,1287
2014,E01025085,1423
2014,E01025086,1372
2014,E01025087,1333
2014,E01025161,1094
2014,E01025108,1271
2014,E01025109,1166
2014,E01025131,1552
2014,E01025133,1424
2014,E01025112,1616
2014,E01025136,1518
2014,E01025138,1444
2014,E01025139,1677
2014,E01025140,1481
2014,E01025111,1700
2014,E01025113,1516
2014,E01025118,1117
2014,E01025119,1489
2014,E01025110,1467
2014,E01025116,1330
2014,E01025117,1420
2014,E01025120,1598
2014,E01025170,1685
2014,E01025171,1782
2014,E01025172,1512
2014,E01025173,1641
2014,E01025149,2141
2014,E01025150,1504
2014,E01025151,1597
2014,E01025152,1553
2014,E01025154,1321
2014,E01025091,1478
2014,E01025092,1233
2014,E01025095,1511
2014,E01025126,1964
2014,E01025093,1885
2014,E01025094,1391
2014,E01025099,1485
2014,E01033071,1461
2014,E01033073,1886
2014,E01025125,1688
2014,E01025128,1389
2014,E01025129,1259
2014,E01025147,1557
2014,E01025114,1525
2014,E01025115,1559
2014,E01025121,1974
2014,E01025122,1688
2014,E01025123,2455
2014,E01025124,1533
2014,E01033072,2368
2014,E01025100,1510
2014,E01025101,1444
2014,E01025102,1548
2014,E01025103,1368
2014,E01025144,2030
2014,E01025146,2027
2014,E01025127,1391
2014,E01025141,1462
2014,E01025143,1431
2014,E01025145,1462
2014,E01025105,6006
2014,E01025106,2421
2014,E01025107,1651
2014,E01025142,1455
2014,E01025137,1416
2014,E01025162,1363
2014,E01025163,1356
2014,E01025164,1371
2014,E01025165,1515
2014,E01025153,1251
2014,E01025155,1249
2014,E01025156,1193
2014,E01025157,1159
2014,E01025191,1291
2014,E01025192,1452
2014,E01025193,1283
2014,E01025194,1384
2014,E01025195,1205
2014,E01025196,1597
2014,E01025197,1317
2014,E01025198,1485
2014,E01025199,1684
2014,E01025200,1533
2014,E01025201,1593
2014,E01025202,1365
2014,E01025205,1421
2014,E01025206,1139
2014,E01025207,1164
2014,E01025208,1225
2014,E01025220,1688
2014,E01025221,1366
2014,E01025222,1535
2014,E01025223,1423
2014,E01025178,1804
2014,E01025179,1555
2014,E01025180,1921
2014,E01025203,1621
2014,E01025226,1499
2014,E01025227,1960
2014,E01025228,1504
2014,E01025174,1436
2014,E01025175,1558
2014,E01025176,1992
2014,E01025177,1799
2014,E01025204,1667
2014,E01025211,1428
2014,E01025181,1578
2014,E01025182,1580
2014,E01025183,1663
2014,E01025184,1694
2014,E01025188,1971
